epoch,train_loss,train_acc,val_loss,val_acc
1,0.5139,79.53,0.5281,80.60
2,0.2536,89.16,0.4718,82.11
3,0.1793,92.64,0.5224,83.49
4,0.1426,94.18,0.6235,83.24
5,0.1202,95.22,0.4950,85.13
6,0.1042,95.87,0.5266,84.79
7,0.0932,96.30,0.5510,83.29
8,0.0843,96.69,0.5541,84.43
9,0.0779,96.95,0.4838,85.39
10,0.0710,97.24,0.6206,84.26
10,0.0703,97.26,0.6670,84.31
11,0.0652,97.47,0.5328,85.06
11,0.0666,97.41,0.5634,83.22
12,0.0611,97.63,0.5198,84.27
12,0.0630,97.57,0.6114,85.53
13,0.0590,97.74,0.5711,83.60
13,0.0582,97.75,0.6355,85.83
14,0.0343,98.69,0.6254,84.91
14,0.0561,97.88,0.6018,85.32
15,0.0523,98.01,0.6115,84.34
16,0.0501,98.09,0.6179,85.32
17,0.0473,98.18,0.5792,85.49
18,0.0273,98.95,0.6886,85.97
19,0.0234,99.09,0.7800,85.55
20,0.0221,99.18,0.7034,85.92
