epoch,train_loss,train_acc,val_loss,val_acc
1,0.4997,80.12,0.4598,82.09
2,0.2458,89.62,0.4229,83.47
3,0.1741,92.78,0.4439,82.86
4,0.1390,94.36,0.6450,83.80
5,0.1173,95.29,0.5303,84.82
6,0.0995,96.08,0.5893,84.04
7,0.0888,96.51,0.4782,84.11
8,0.0816,96.84,0.4830,85.34
9,0.0753,97.07,0.5493,84.93
10,0.0686,97.34,0.6242,84.23
11,0.0659,97.46,0.6665,85.23
12,0.0604,97.72,0.5945,85.49
13,0.0572,97.81,0.6428,83.21
14,0.0540,97.95,0.5863,85.48
15,0.0512,98.05,0.6481,85.74
16,0.0481,98.16,0.6229,85.07
17,0.0467,98.21,0.6669,83.50
18,0.0441,98.30,0.6272,85.76
19,0.0429,98.39,0.5614,86.91
20,0.0410,98.43,0.6934,83.48
