epoch,train_loss,train_acc,val_loss,val_acc
1,0.5767,76.65,0.4938,78.72
2,0.4182,80.75,0.5478,79.60
3,0.3671,83.23,0.5311,80.78
4,0.3325,84.95,0.4597,79.88
5,0.3067,86.21,0.4820,81.52
6,0.2873,87.10,0.4762,81.24
7,0.2688,88.05,0.6994,81.68
8,0.2571,88.55,0.5603,81.51
9,0.2436,89.22,0.4929,80.95
10,0.2354,89.66,0.6034,81.76
11,0.2250,90.14,0.5594,81.54
12,0.2155,90.57,0.6417,82.35
13,0.2096,90.87,0.6582,81.94
14,0.2037,91.12,0.6752,82.32
15,0.1982,91.40,0.6064,82.61
16,0.1922,91.73,0.5640,82.31
17,0.1865,91.97,0.6206,81.71
18,0.1829,92.12,0.5987,81.64
19,0.1774,92.41,0.5745,82.93
20,0.1736,92.52,1.7733,82.71
