epoch,train_loss,train_bin_acc,train_multi_acc,val_loss,val_bin_acc,val_multi_acc
1,0.3389,88.86,79.18,0.5374,84.69,74.89
2,0.1557,94.72,91.94,0.5979,84.76,74.69
3,0.1189,95.99,94.00,0.6754,85.18,75.37
4,0.0977,96.71,95.15,0.5345,85.95,77.35
5,0.0846,97.16,95.85,0.5333,86.23,78.24
6,0.0747,97.52,96.38,0.5738,84.98,77.53
7,0.0666,97.78,96.78,0.7025,84.64,76.36
8,0.0624,97.91,97.05,0.5491,86.67,77.90
9,0.0577,98.09,97.22,0.6707,84.77,75.78
10,0.0532,98.25,97.52,0.5624,86.96,78.37
11,0.0498,98.37,97.67,0.7386,85.05,76.58
12,0.0464,98.46,97.84,0.6687,84.44,76.32
13,0.0440,98.53,97.91,0.7543,83.38,74.69
14,0.0407,98.64,98.09,0.6709,84.75,77.24
15,0.0214,99.26,99.00,0.7671,85.41,77.86
