epoch,train_loss,train_acc,val_loss,val_acc
1,0.0224,99.57,0.0000,100.00
2,0.0000,100.00,0.0000,100.00
3,0.0003,99.99,0.0000,100.00
4,0.0000,100.00,0.0000,100.00
5,0.0000,100.00,0.0000,100.00
6,0.0000,100.00,0.0000,100.00
7,0.0000,100.00,0.0000,100.00
8,0.0000,100.00,0.0000,100.00
9,0.0000,100.00,0.0000,100.00
10,0.0000,100.00,0.0000,100.00
11,0.0000,100.00,0.0000,100.00
12,0.0000,100.00,0.0000,100.00
13,0.0000,100.00,0.0000,100.00
14,0.0000,100.00,0.0000,100.00
15,0.0000,100.00,0.0000,100.00
16,0.0000,100.00,0.0000,100.00
17,0.0000,100.00,0.0000,100.00
18,0.0000,100.00,0.0000,100.00
19,0.0000,100.00,0.0000,100.00
20,0.0000,100.00,0.0000,100.00
